protocol_name_raw,symbol,category,chains,tvl_max,audit_firms,audit_score_max,audit_score_mean,last_audit_date,audit_sources,audit_firm_count,has_audit,audit_score,any_top_firm,proto_norm,slug,name,symbol_llama,category_llama,tvl,chains_llama
0.exchange,ZERO,Dexs,['Multi-Chain'],118169.4716704333,[],,,,['api'],0,0,,0,0.exchange,0.exchange,0.exchange,ZERO,Dexs,51340.3875969544,Avalanche;Binance;Polygon
01,-,Derivatives,['Solana'],356153.8573363595,[],,,,['api'],0,0,,0,01,01,01,-,Derivatives,243198.13570394937,Solana
0vix,-,Lending,['Multi-Chain'],0.0,[],,,,['api'],0,0,,0,0vix,0vix,0vix,-,Lending,0.0,Polygon;Polygon zkEVM
0x,ZRX,DEX Aggregator,['nan'],0.0,[],,,,['api'],0,0,,0,0x,0x,0x,ZRX,DEX Aggregator,0.0,
0x Aggregator,ZRX,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,0x aggregator,0x-aggregator,0x Aggregator,ZRX,DEX Aggregator,,
0x NODES,BIOS,Yield Aggregator,['Multi-Chain'],0.0,[],,,,['api'],0,0,,0,0x nodes,0x-nodes,0x NODES,BIOS,Yield Aggregator,0.0,Ethereum;Binance;Polygon;Fantom;Metis;Avalanche
0x0.ai,0X0,Privacy,['Ethereum'],434507.1883,[],,,,['api'],0,0,,0,0x0.ai,0x0.ai,0x0.ai,0X0,Privacy,325784.43409469386,Ethereum
0xAcid,ACID,Liquid Staking,['Arbitrum'],0.0,[],,,,['api'],0,0,,0,0xacid,0xacid,0xAcid,ACID,Liquid Staking,0.0,Arbitrum
0xDAO,OXD,Yield,['Fantom'],68103.08851391065,[],,,,['api'],0,0,,0,0xdao,0xdao,0xDAO,OXD,Yield,42578.56267519203,Fantom
0xLend,-,Lending,['Multi-Chain'],1551.56914047453,[],,,,['api'],0,0,,0,0xlend,0xlend,0xLend,-,Lending,1164.470821065793,Blast;zkSync Era;Kucoin
0xScans,SCAN,Developer Tools,['Ethereum'],0.0,[],,,,['api'],0,0,,0,0xscans,0xscans,0xScans,SCAN,Developer Tools,0.0,Ethereum
10KDex,-,Derivatives,['Scroll'],120245.18605318922,[],,,,['api'],0,0,,0,10kdex,10kdex,10KDex,-,Derivatives,102107.64597012122,Scroll
10KSwap,-,Dexs,['Starknet'],991240.669298504,[],,,,['api'],0,0,,0,10kswap,10kswap,10KSwap,-,Dexs,853902.9951870741,Starknet
1155Tech,-,NFT Marketplace,['Canto'],0.0,[],,,,['api'],0,0,,0,1155tech,1155tech,1155Tech,-,NFT Marketplace,0.0,Canto
1776.MEME,-,Launchpad,['Ethereum'],1128.0531594174704,[],,,,['api'],0,0,,0,1776.meme,1776.meme,1776.MEME,-,Launchpad,832.7997445197562,Ethereum
1BCH,1BCH,Dexs,['smartBCH'],263.34439855274945,[],,,,['api'],0,0,,0,1bch,1bch,1BCH,1BCH,Dexs,19143.186693348576,smartBCH
1Beam,1BEAM,Dexs,['Moonbeam'],3336.6875752016585,[],,,,['api'],0,0,,0,1beam,1beam,1Beam,1BEAM,Dexs,3303.7574681172773,Moonbeam
1delta,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,1delta,1delta,1delta,-,DEX Aggregator,,
1DEX,-,Dexs,['EOS'],950269.1159512512,[],,,,['api'],0,0,,0,1dex,1dex,1DEX,-,Dexs,308591.09191531216,EOS
1INTRO,INTRO,Dexs,['Solana'],135383.34717095768,[],,,,['api'],0,0,,0,1intro,1intro,1INTRO,INTRO,Dexs,102254.74402892053,Solana
1Pulse,-,Dexs,['Pulse'],18.23254045402506,[],,,,['api'],0,0,,0,1pulse,1pulse,1Pulse,-,Dexs,7.126674169151049,Pulse
1Swap,1SWAP,Dexs,['Moonriver'],9683.952105254077,[],,,,['api'],0,0,,0,1swap,1swap,1Swap,1SWAP,Dexs,974.7834496538154,Moonriver
21.co,-,Bridge,['Multi-Chain'],1227550.5863786722,[],,,,['api'],0,0,,0,21.co,21.co,21.co,-,Bridge,470993.8919886968,Bitcoin;Ripple;Doge;Binance;Cardano;Litecoin;Polkadot;Solana
2Doge Finance,2DOGE,Algo-Stables,['Fantom'],0.0,[],,,,['api'],0,0,,0,2doge finance,2doge-finance,2Doge Finance,2DOGE,Algo-Stables,0.0,Fantom
2omb Finance,2OMB,Algo-Stables,['Fantom'],0.0,[],,,,['api'],0,0,,0,2omb finance,2omb-finance,2omb Finance,2OMB,Algo-Stables,0.0,Fantom
2Pi Network,-,Yield,['Multi-Chain'],2404.0927587757005,[],,,,['api'],0,0,,0,2pi network,2pi-network,2Pi Network,-,Yield,2390.645429893856,Optimism;Polygon;Binance;Avalanche
2THICK,ELITE,Dexs,['Multi-Chain'],168004.25427512458,[],,,,['api'],0,0,,0,2thick,2thick,2THICK,ELITE,Dexs,81080.77600068176,Sonic;Base;Fantom
3A DAO,A3A,CDP,['Multi-Chain'],12424.398631187772,[],,,,['api'],0,0,,0,3a dao,3a-dao,3A DAO,A3A,CDP,9379.554551288717,Linea;Polygon
3F Mutual,-,Insurance,['Ethereum'],7923148.8825366,[],,,,['api'],0,0,,0,3f mutual,3f-mutual,3F Mutual,-,Insurance,5991194.047760825,Ethereum
3jane Lending,-,Lending,['Ethereum'],1057981.7600693572,[],,,,['api'],0,0,,0,3jane lending,3jane-lending,3jane Lending,-,Lending,42433435.454437986,Ethereum
3jane Options,-,Options Vault,['Ethereum'],263228.6834015546,[],,,,['api'],0,0,,0,3jane options,3jane-options,3jane Options,-,Options Vault,176666.4845746045,Ethereum
3route,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,3route,3route,3route,-,DEX Aggregator,,
3xcalibur,XCAL,Dexs,['Arbitrum'],3641.261072890263,[],,,,['api'],0,0,,0,3xcalibur,3xcalibur,3xcalibur,XCAL,Dexs,3156.807903920414,Arbitrum
40 Acres,-,Lending,['Multi-Chain'],37130523.84970855,[],,,,['api'],0,0,,0,40 acres,40-acres,40 Acres,-,Lending,24009114.879205253,Base;Avalanche;Optimism
4Swap,-,Dexs,['Mixin'],500571.15,[],,,,['api'],0,0,,0,4swap,4swap,4Swap,-,Dexs,457575.9648925931,Mixin
5ire Dapp Staking,5IRE,Yield,['Ethereum'],0.0,[],,,,['api'],0,0,,0,5ire dapp staking,5ire-dapp-staking,5ire Dapp Staking,5IRE,Yield,0.0,Ethereum
7K Aggregator,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,7k aggregator,7k-aggregator,7K Aggregator,-,DEX Aggregator,,
88mph,MPH,Lending,['Multi-Chain'],348224.4561413293,[],,,,['api'],0,0,,0,88mph,88mph,88mph,MPH,Lending,442442.0809238396,Ethereum;Fantom;Avalanche;Polygon
8DX,-,DEX Aggregator,['nan'],,[],,,,['api'],0,0,,0,8dx,8dx,8DX,-,DEX Aggregator,,
8ightDAO,EIGHT,Reserve Currency,['Harmony'],0.0,[],,,,['api'],0,0,,0,8ightdao,8ightdao,8ightDAO,EIGHT,Reserve Currency,0.0,Harmony
8lends,-,RWA Lending,['Base'],93630.9523995223,[],,,,['api'],0,0,,0,8lends,8lends,8lends,-,RWA Lending,205326.43015638329,Base
9inch V2,9INCH,Dexs,['Multi-Chain'],2969514.691990923,[],,,,['api'],0,0,,0,9inch v2,9inch-v2,9inch V2,9INCH,Dexs,765610.1055580017,Pulse;Ethereum
9inch V3,9INCH,Dexs,['Pulse'],477827.06475446536,[],,,,['api'],0,0,,0,9inch v3,9inch-v3,9inch V3,9INCH,Dexs,275805.0710065893,Pulse
9mm V2,-,Dexs,['Multi-Chain'],191928.7897540259,[],,,,['api'],0,0,,0,9mm v2,9mm-v2,9mm V2,-,Dexs,79118.0875553934,Pulse;Base;Sonic
9mm V3,-,Dexs,['Multi-Chain'],6512828.910009596,[],,,,['api'],0,0,,0,9mm v3,9mm-v3,9mm V3,-,Dexs,3406481.783592256,Pulse;Base;Sonic
9Summits,-,Risk Curators,['Multi-Chain'],9882528.801123977,[],,,,['api'],0,0,,0,9summits,9summits,9Summits,-,Risk Curators,146812.8762339935,Ethereum;Base;Unichain
A-DEX,-,Dexs,['Multi-Chain'],42.9284579481826,[],,,,['api'],0,0,,0,a-dex,a-dex,A-DEX,-,Dexs,26.501189391760057,EOS;Wax
A51 Finance V2,A51,Liquidity manager,['Multi-Chain'],41418.79570323558,[],,,,['api'],0,0,,0,a51 finance v2,a51-finance-v2,A51 Finance V2,A51,Liquidity manager,21660.617524153746,Ethereum;Arbitrum;Dogechain;Polygon;Binance;Polygon zkEVM
A51 Finance V3,A51,Liquidity manager,['Multi-Chain'],7184.0600407222,[],,,,['api'],0,0,,0,a51 finance v3,a51-finance-v3,A51 Finance V3,A51,Liquidity manager,5754.960945225807,Base;Arbitrum;Linea;Optimism;Blast;Mode;Scroll;Manta;Binance;Polygon;Polygon zkEVM
Aark Digital,AARK,Interface,['Arbitrum'],0.0,[],,,,['api'],0,0,,0,aark digital,aark-digital,Aark Digital,AARK,Interface,0.0,Arbitrum
Aarna Protocol,-,Yield,['Multi-Chain'],1114382.448095753,[],,,,['api'],0,0,,0,aarna protocol,aarna-protocol,Aarna Protocol,-,Yield,711448.8276897097,Ethereum;Sonic;Arbitrum
Aave Aptos,AAVE,Lending,['Aptos'],1563457.2029135656,[],,,,['api'],0,0,,0,aave aptos,aave-aptos,Aave Aptos,AAVE,Lending,39483186.43637452,Aptos
aave,,,[],,['CertiK'],92.0,92.0,2023-06-14 00:00:00+00:00,['full'],1,1,92.0,1,aave,aave-arc,Aave Arc,AAVE,Lending,57253.38956171104,Ethereum
Aave-Chan,-,DAO Service Provider,['nan'],,[],,,,['api'],0,0,,0,aave-chan,aave-chan,Aave-Chan,-,DAO Service Provider,,
Aave V1,AAVE,Lending,['Ethereum'],14955715.712726545,[],,,,['api'],0,0,,0,aave v1,aave-v1,Aave V1,AAVE,Lending,10594251.86274393,Ethereum
Aave V2,AAVE,Lending,['Multi-Chain'],315881709.41464746,[],,,,['api'],0,0,,0,aave v2,aave-v2,Aave V2,AAVE,Lending,187920840.72122455,Ethereum;Polygon;Avalanche
Aave V3,AAVE,Lending,['Multi-Chain'],42514054346.929855,[],,,,['api'],0,0,,0,aave v3,aave-v3,Aave V3,AAVE,Lending,34189753691.24607,Ethereum;Plasma;Arbitrum;Base;Avalanche;Binance;Polygon;Linea;Optimism;xDai;Sonic;Celo;Scroll;zkSync Era;Soneium;Metis;Fantom;Harmony
Aavegotchi,GHST,Gaming,['Multi-Chain'],654813.9517474717,[],,,,['api'],0,0,,0,aavegotchi,aavegotchi,Aavegotchi,GHST,Gaming,579787.8197255363,Polygon;Ethereum
Abachi,ABI,Services,['nan'],0.0,[],,,,['api'],0,0,,0,abachi,abachi,Abachi,ABI,Services,0.0,
Abacus,-,Governance Incentives,['Multi-Chain'],38266.44224590498,[],,,,['api'],0,0,,0,abacus,abacus,Abacus,-,Governance Incentives,21494.14150485646,Polygon;Binance;Arbitrum;Avalanche;Scroll;Mantle
ABC Pool,ABC,Staking Pool,['Conflux'],13650276.504,[],,,,['api'],0,0,,0,abc pool,abc-pool,ABC Pool,ABC,Staking Pool,7834453.513054133,Conflux
ABcDeFX,-,Dexs,['Multi-Chain'],41.22283378163259,[],,,,['api'],0,0,,0,abcdefx,abcdefx,ABcDeFX,-,Dexs,32.14911763067502,Kucoin;Fantom;Kava;MultiVAC;Echelon
ABEL Finance,ABEL,Lending,['Aptos'],256552.95689098976,[],,,,['api'],0,0,,0,abel finance,abel-finance,ABEL Finance,ABEL,Lending,256435.5155908135,Aptos
ABEx Finance,ALP,Derivatives,['Sui'],57017.66132118377,[],,,,['api'],0,0,,0,abex finance,abex-finance,ABEx Finance,ALP,Derivatives,29783.889762975516,Sui
Aboard Exchange,ABE,Derivatives,['Multi-Chain'],128.55906849388032,[],,,,['api'],0,0,,0,aboard exchange,aboard-exchange,Aboard Exchange,ABE,Derivatives,125.12689311981136,Arbitrum;Avalanche;zkSync Era;Base;Scroll;Manta;Mantle;Polygon zkEVM
Abracadabra Spell,SPELL,CDP,['Multi-Chain'],22482084.066815317,[],,,,['api'],0,0,,0,abracadabra spell,abracadabra-spell,Abracadabra Spell,SPELL,CDP,15231375.61327472,Arbitrum;Ethereum;Blast;Binance;Kava;Avalanche;Fantom;Optimism
Abstract,-,Chain,['Ethereum'],79986573.25197582,[],,,,['api'],0,0,,0,abstract,abstract,Abstract,-,Chain,54994572.526297815,Ethereum
AbstraDEX,-,Dexs,['Multi-Chain'],666251.9772054394,[],,,,['api'],0,0,,0,abstradex,abstradex,AbstraDEX,-,Dexs,393538.328429232,X Layer;Morph;Cronos zkEVM;ZetaChain;Zkfair;Cyber;Blast
Acala,ACA,Canonical Bridge,['nan'],0.0,[],,,,['api'],0,0,,0,acala,acala,Acala,ACA,Canonical Bridge,0.0,
Acala Dollar,aUSD,CDP,['Acala'],0.0,[],,,,['api'],0,0,,0,acala dollar,acala-dollar,Acala Dollar,aUSD,CDP,0.0,Acala
Acala Euphrates,DOT,Yield,['Acala'],995369.5177037258,[],,,,['api'],0,0,,0,acala euphrates,acala-euphrates,Acala Euphrates,DOT,Yield,519074.4134650874,Acala
Acala LCDOT,DOT,Liquid Staking,['Acala'],9340037.956743406,[],,,,['api'],0,0,,0,acala lcdot,acala-lcdot,Acala LCDOT,DOT,Liquid Staking,5049674.267356669,Acala
Acala Liquid Staking,DOT,Liquid Staking,['Acala'],14401424.327463396,[],,,,['api'],0,0,,0,acala liquid staking,acala-liquid-staking,Acala Liquid Staking,DOT,Liquid Staking,6778332.384969508,Acala
Acala Swap,ACA,Dexs,['Acala'],0.0,[],,,,['api'],0,0,,0,acala swap,acala-swap,Acala Swap,ACA,Dexs,0.0,Acala
Access Protocol,ACS,SoFi,['Solana'],0.0,[],,,,['api'],0,0,,0,access protocol,access-protocol,Access Protocol,ACS,SoFi,0.0,Solana
Accumulated Finance Lending,-,Lending,['Multi-Chain'],179761.88495899475,[],,,,['api'],0,0,,0,accumulated finance lending,accumulated-finance-lending,Accumulated Finance Lending,-,Lending,203474.5579993581,ZetaChain;Coti;Velas;Bitkub;Sapphire
Accumulated Finance Liquid Staking,-,Liquid Staking,['Multi-Chain'],2209404.8762284014,[],,,,['api'],0,0,,0,accumulated finance liquid staking,accumulated-finance-liquid-staking,Accumulated Finance Liquid Staking,-,Liquid Staking,1190593.23498727,Sapphire;Bitkub;ZetaChain;Velas;Ethereum;Coti;Manta;Arbitrum;Binance;Sei;Artela
Accumulator,-,Yield Aggregator,['ShimmerEVM'],5485.655534664952,[],,,,['api'],0,0,,0,accumulator,accumulator,Accumulator,-,Yield Aggregator,2165.0761195816435,ShimmerEVM
Ace of Base,ACE,Farm,['Base'],26.415525493240622,[],,,,['api'],0,0,,0,ace of base,ace-of-base,Ace of Base,ACE,Farm,22.412592399676846,Base
ACET,ACT,Farm,['Binance'],0.0,[],,,,['api'],0,0,,0,acet,acet,ACET,ACT,Farm,0.0,Binance
ACoconut,AC,Yield,['Multi-Chain'],10105.117831383785,[],,,,['api'],0,0,,0,acoconut,acoconut,ACoconut,AC,Yield,5597.3395187932565,Ethereum;Binance
Across,ACX,Cross Chain Bridge,['Ethereum'],79821700.26534301,[],,,,['api'],0,0,,0,across,across,Across,ACX,Cross Chain Bridge,44459863.28666517,Ethereum
ACryptoS,ACS,Liquidity manager,['Multi-Chain'],10564758.26,[],,,,['api'],0,0,,0,acryptos,acryptos,ACryptoS,ACS,Liquidity manager,10559723.547954828,Binance;Arbitrum;Avalanche;Base;Moonbeam;Moonriver;Astar;Linea;Ethereum;Optimism;Cronos;xDai;Polygon;Fantom;Kava;Canto;Harmony
Acumen,ACM,Lending,['Solana'],0.0,[],,,,['api'],0,0,,0,acumen,acumen,Acumen,ACM,Lending,0.0,Solana
Ad-Astra Bridge,-,Bridge,['Ethereum'],4.625926948859999,[],,,,['api'],0,0,,0,ad-astra bridge,ad-astra-bridge,Ad-Astra Bridge,-,Bridge,4.6263641677226035,Ethereum
Adamant Finance,ADDY,Yield,['Multi-Chain'],602442.7986298411,[],,,,['api'],0,0,,0,adamant finance,adamant-finance,Adamant Finance,ADDY,Yield,516001.2546007754,Fraxtal;Polygon;Arbitrum;Cronos
ADAO,ibASTR,Yield,['Astar'],3472.8347125264204,[],,,,['api'],0,0,,0,adao,adao,ADAO,ibASTR,Yield,1717.3624255024824,Astar
AdaSwap,ASW,Dexs,['Milkomeda'],0.0,[],,,,['api'],0,0,,0,adaswap,adaswap,AdaSwap,ASW,Dexs,0.0,Milkomeda
ADAX Pro,ADAX,Dexs,['Cardano'],0.0,[],,,,['api'],0,0,,0,adax pro,adax-pro,ADAX Pro,ADAX,Dexs,0.0,Cardano
ADEN,-,Interface,['nan'],,[],,,,['api'],0,0,,0,aden,aden,ADEN,-,Interface,,
Adena Finance,ADENA,Dexs,['Harmony'],112.73005521708082,[],,,,['api'],0,0,,0,adena finance,adena-finance,Adena Finance,ADENA,Dexs,44.76541291581891,Harmony
Adrastea LRT,-,Liquid Restaking,['Solana'],9259449.187631749,[],,,,['api'],0,0,,0,adrastea lrt,adrastea-lrt,Adrastea LRT,-,Liquid Restaking,1960667.775917748,Solana
Adrastea LST,-,Liquid Staking,['Solana'],10944369.481670167,[],,,,['api'],0,0,,0,adrastea lst,adrastea-lst,Adrastea LST,-,Liquid Staking,7148757.774522034,Solana
Adrastea Restaking Operator,-,Staking Pool,['Solana'],31920866.5641989,[],,,,['api'],0,0,,0,adrastea restaking operator,adrastea-restaking-operator,Adrastea Restaking Operator,-,Staking Pool,0.0,Solana
Adrastea Validator,-,Staking Pool,['Solana'],50490529.94100974,[],,,,['api'],0,0,,0,adrastea validator,adrastea-validator,Adrastea Validator,-,Staking Pool,15107181.269434337,Solana
Adrastea Yield,-,Yield,['Solana'],391277.7225165276,[],,,,['api'],0,0,,0,adrastea yield,adrastea-yield,Adrastea Yield,-,Yield,85191.55545660887,Solana
Adrena Protocol,ADX,Derivatives,['Solana'],17667571.217834067,[],,,,['api'],0,0,,0,adrena protocol,adrena-protocol,Adrena Protocol,ADX,Derivatives,1588150.739753052,Solana
Aegis,-,Basis Trading,['Multi-Chain'],34750484.02264912,[],,,,['api'],0,0,,0,aegis,aegis,Aegis,-,Basis Trading,42711703.58674771,Ethereum;Binance
Aelin,Aelin,Charity Fundraising,['Multi-Chain'],28486.88221378137,[],,,,['api'],0,0,,0,aelin,aelin,Aelin,Aelin,Charity Fundraising,25317.3341180463,Optimism;Ethereum
Aequinox,AEQ,Dexs,['Binance'],639228.6577662502,[],,,,['api'],0,0,,0,aequinox,aequinox,Aequinox,AEQ,Dexs,634192.6005854413,Binance
Aera V2,-,Onchain Capital Allocator,['Multi-Chain'],85609724.31716146,[],,,,['api'],0,0,,0,aera v2,aera-v2,Aera V2,-,Onchain Capital Allocator,52786863.86349927,Ethereum;Arbitrum;Polygon;Base
Aera V3,-,Onchain Capital Allocator,['Multi-Chain'],30681477.80179012,[],,,,['api'],0,0,,0,aera v3,aera-v3,Aera V3,-,Onchain Capital Allocator,87534359.30618437,Base;Ethereum
Aeria,-,Options Vault,['Base'],365.06267173288495,[],,,,['api'],0,0,,0,aeria,aeria,Aeria,-,Options Vault,365.0832180081073,Base
Aerie Lab,-,Dexs,['Ethereum'],0.0,[],,,,['api'],0,0,,0,aerie lab,aerie-lab,Aerie Lab,-,Dexs,0.0,Ethereum
Aerodrome Slipstream,AERO,Dexs,['Base'],270007192.5431923,[],,,,['api'],0,0,,0,aerodrome slipstream,aerodrome-slipstream,Aerodrome Slipstream,AERO,Dexs,253623127.2314479,Base
Aerodrome V1,AERO,Dexs,['Base'],305794086.90816325,[],,,,['api'],0,0,,0,aerodrome v1,aerodrome-v1,Aerodrome V1,AERO,Dexs,170360742.10959256,Base
Aethir,ATH,Chain,['nan'],,[],,,,['api'],0,0,,0,aethir,aethir,Aethir,ATH,Developer Tools,0.0,Ethereum
Aevo Options,AEVO,Options,['nan'],,[],,,,['api'],0,0,,0,aevo options,aevo-options,Aevo Options,AEVO,Options,,
Aevo Perps,AEVO,Derivatives,['Multi-Chain'],34490211.329039276,[],,,,['api'],0,0,,0,aevo perps,aevo-perps,Aevo Perps,AEVO,Derivatives,27092864.67050956,Ethereum;Arbitrum;Optimism;Base
Affine DeFi Earn,-,Yield Aggregator,['Multi-Chain'],52782.38633390556,[],,,,['api'],0,0,,0,affine defi earn,affine-defi-earn,Affine DeFi Earn,-,Yield Aggregator,43945.923745124615,Polygon;Ethereum
